"word","category","category_reason","definition"
"aborts","2","uncommon or archaic (low frequency)","the act of terminating a project or procedure before it is completed"
"abound","2","uncommon or archaic (low frequency)","be abundant or plentiful; exist in large quantities"
"abounded","2","uncommon or archaic (low frequency)","be abundant or plentiful; exist in large quantities"
"abounding","2","uncommon or archaic (low frequency)","be abundant or plentiful; exist in large quantities"
"abounds","2","uncommon or archaic (low frequency)","be abundant or plentiful; exist in large quantities"
"about","1","common english (recognizable)","on the move"
"above","1","common english (recognizable)","an earlier section of a written text"
"aboveboard","2","uncommon or archaic (low frequency)","without concealment or deception; honest"
"aboveground","2","uncommon or archaic (low frequency)","on or above the surface of the ground"
"abracadabra","2","uncommon or archaic (low frequency)","gibberish and nonsense"
"abrade","2","uncommon or archaic (low frequency)","wear away"
"abraded","2","uncommon or archaic (low frequency)","wear away"
"abrading","2","uncommon or archaic (low frequency)","wear away"
"abrasion","2","uncommon or archaic (low frequency)","an abraded area where the skin is torn or worn off"
"abrasions","2","uncommon or archaic (low frequency)","an abraded area where the skin is torn or worn off"
"abrasive","2","uncommon or archaic (low frequency)","a substance that abrades or wears down"
"abrasiveness","2","uncommon or archaic (low frequency)","the roughness of a substance that causes abrasions"
"abrasives","2","uncommon or archaic (low frequency)","a substance that abrades or wears down"
"abreaction","2","uncommon or archaic (low frequency)","(psychoanalysis) purging of emotional tensions"
"abreast","2","uncommon or archaic (low frequency)","being up to particular standard or level especially in being up to date in knowledge"
"abridge","2","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abridged","2","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abridgement","2","uncommon or archaic (low frequency)","a shortened version of a written work"
"abridgements","2","uncommon or archaic (low frequency)","a shortened version of a written work"
"abridges","2","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abridging","2","uncommon or archaic (low frequency)","reduce in scope while retaining essential elements"
"abridgment","2","uncommon or archaic (low frequency)","a shortened version of a written work"
"abridgments","2","uncommon or archaic (low frequency)","a shortened version of a written work"
"abroad","1","common english (recognizable)","in a foreign country"
"abrogate","2","uncommon or archaic (low frequency)","revoke formally"
"abrogated","2","uncommon or archaic (low frequency)","revoke formally"
"abrogates","2","uncommon or archaic (low frequency)","revoke formally"
"abrogating","2","uncommon or archaic (low frequency)","revoke formally"
"abrogation","2","uncommon or archaic (low frequency)","the act of abrogating; an official or legal cancellation"
"abrupt","2","uncommon or archaic (low frequency)","marked by sudden changes in subject and sharp transitions"
"abruption","2","uncommon or archaic (low frequency)","an instance of sudden interruption"
"abruptly","1","common english (recognizable)","quickly and without warning"
"abruptness","2","uncommon or archaic (low frequency)","an abrupt discourteous manner"
"abscess","2","uncommon or archaic (low frequency)","symptom consisting of a localized collection of pus surrounded by inflamed tissue"
"abscessed","2","uncommon or archaic (low frequency)","infected and filled with pus"
"abscesses","2","uncommon or archaic (low frequency)","symptom consisting of a localized collection of pus surrounded by inflamed tissue"
"abscissa","2","uncommon or archaic (low frequency)","the value of a coordinate on the horizontal axis"
"abscission","2","uncommon or archaic (low frequency)","shedding of flowers and leaves and fruit following formation of scar tissue in a plant"
"abscond","2","uncommon or archaic (low frequency)","run away; usually includes taking something or somebody along"
"absconded","2","uncommon or archaic (low frequency)","run away; usually includes taking something or somebody along"
"absconder","2","uncommon or archaic (low frequency)","a fugitive who runs away and hides to avoid arrest or prosecution"
"absconders","2","uncommon or archaic (low frequency)","a fugitive who runs away and hides to avoid arrest or prosecution"
"absconding","2","uncommon or archaic (low frequency)","run away; usually includes taking something or somebody along"
"absconds","2","uncommon or archaic (low frequency)","run away; usually includes taking something or somebody along"
